frame_id,class_id,actual_label,is_food,confidence,mog2_time_ms,preprocess_time_ms,yolo_time_ms,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,0,apple,True,0.993964433670044,348.6,24.4,759.5,0.46,0.44,1.4,1.43
1,3,lemon,True,0.951810359954834,348.6,24.4,759.5,0.3,0.35,1.04,1.1
1,4,tomato,True,0.7720073461532593,348.6,24.4,759.5,0.21,0.22,0.82,0.89
1,4,tomato,True,0.7494938969612122,348.6,24.4,759.5,0.09,0.1,0.56,0.67
1,4,tomato,True,0.7335200905799866,348.6,24.4,759.5,0.07,0.06,0.37,0.43
1,4,tomato,True,0.6144428849220276,348.6,24.4,759.5,0.08,0.09,0.25,0.26
1,4,tomato,True,0.610423743724823,348.6,24.4,759.5,-0.05,0.17,0.28,0.49
2,4,tomato,True,0.9941297173500061,29.5,23.4,684.4,0.46,0.46,1.38,1.38
2,3,lemon,True,0.95824134349823,29.5,23.4,684.4,0.34,0.36,1.07,1.1
2,4,tomato,True,0.7743668556213379,29.5,23.4,684.4,0.21,0.24,0.83,0.9
2,4,tomato,True,0.7629568576812744,29.5,23.4,684.4,0.09,0.11,0.56,0.64
2,4,tomato,True,0.731783926486969,29.5,23.4,684.4,0.07,0.02,0.35,0.44
2,4,tomato,True,0.6120438575744629,29.5,23.4,684.4,0.08,0.08,0.24,0.25
2,3,lemon,True,0.6094861030578613,29.5,23.4,684.4,-0.03,0.14,0.29,0.52
3,0,apple,True,0.9943264722824097,29.9,19.9,676.6,0.46,0.46,1.43,1.45
3,4,tomato,True,0.9772135615348816,29.9,19.9,676.6,0.34,0.35,1.14,1.22
3,4,tomato,True,0.9556761980056763,29.9,19.9,676.6,0.28,0.28,0.88,0.89
3,4,tomato,True,0.7281396985054016,29.9,19.9,676.6,0.14,0.17,0.64,0.73
3,4,tomato,True,0.6372495889663696,29.9,19.9,676.6,0.12,0.11,0.46,0.57
3,2,egg,True,0.6222073435783386,29.9,19.9,676.6,-0.12,-0.02,0.32,0.46
4,0,apple,True,0.9940646886825562,37.1,10.7,653.9,0.46,0.46,1.4,1.42
4,1,carrot,True,0.9498494863510132,37.1,10.7,653.9,0.34,0.35,1.13,1.14
4,4,tomato,True,0.7987585067749023,37.1,10.7,653.9,0.26,0.27,0.89,0.93
4,4,tomato,True,0.7797338366508484,37.1,10.7,653.9,0.15,0.19,0.62,0.69
4,4,tomato,True,0.7297292947769165,37.1,10.7,653.9,0.02,0.03,0.3,0.44
4,4,tomato,True,0.6856334805488586,37.1,10.7,653.9,0.09,0.07,0.46,0.55
5,4,tomato,True,0.994074821472168,28.7,14.0,647.7,0.43,0.44,1.34,1.36
5,4,tomato,True,0.9389511346817017,28.7,14.0,647.7,0.32,0.35,1.09,1.11
5,4,tomato,True,0.7880666255950928,28.7,14.0,647.7,0.14,0.11,0.75,0.79
5,4,tomato,True,0.7541713714599609,28.7,14.0,647.7,0.12,0.11,0.46,0.53
5,2,egg,True,0.6736185550689697,28.7,14.0,647.7,-0.01,0.21,0.54,0.77
5,4,tomato,True,0.653588593006134,28.7,14.0,647.7,0.09,0.05,0.35,0.41
5,4,tomato,True,0.6372661590576172,28.7,14.0,647.7,0.0,0.05,0.26,0.48
5,4,tomato,True,0.6128536462783813,28.7,14.0,647.7,0.21,0.21,0.64,0.65
6,0,apple,True,0.9942902326583862,32.2,16.0,648.3,0.46,0.48,1.43,1.46
6,3,lemon,True,0.9707559943199158,32.2,16.0,648.3,0.26,0.29,0.95,1.01
6,4,tomato,True,0.7722128033638,32.2,16.0,648.3,0.1,0.16,0.58,0.71
6,4,tomato,True,0.6913988590240479,32.2,16.0,648.3,0.21,0.22,0.76,0.79
6,4,tomato,True,0.612743616104126,32.2,16.0,648.3,-0.07,0.15,0.3,0.55
6,4,tomato,True,0.6047866344451904,32.2,16.0,648.3,-0.01,-0.15,0.14,0.28
6,4,tomato,True,0.6028830409049988,32.2,16.0,648.3,0.07,0.03,0.3,0.42
7,1,carrot,True,0.9946074485778809,29.0,8.1,667.2,0.5,0.5,1.49,1.49
7,4,tomato,True,0.9781516194343567,29.0,8.1,667.2,0.35,0.37,1.17,1.21
7,3,lemon,True,0.9411551356315613,29.0,8.1,667.2,0.21,0.24,0.93,1.0
7,4,tomato,True,0.9095114469528198,29.0,8.1,667.2,0.14,0.08,0.62,0.74
7,4,tomato,True,0.7449955940246582,29.0,8.1,667.2,0.04,0.05,0.46,0.59
7,4,tomato,True,0.6626770496368408,29.0,8.1,667.2,0.12,0.11,0.34,0.34
7,4,tomato,True,0.6485714912414551,29.0,8.1,667.2,0.26,0.3,0.78,0.73
7,4,tomato,True,0.6026437282562256,29.0,8.1,667.2,0.13,0.14,0.44,0.46
