frame_id,class_id,actual_label,is_food,confidence,mog2_time_ms,preprocess_time_ms,yolo_time_ms,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1,3,lemon,True,0.8391476273536682,349.0,23.2,786.3,0.77,0.77,2.35,2.37
1,1,carrot,True,0.8391476273536682,349.0,23.2,786.3,0.28,0.28,0.84,0.84
1,1,carrot,True,0.8391476273536682,349.0,23.2,786.3,1.37,0.27,1.93,0.83
1,2,egg,True,0.8391476273536682,349.0,23.2,786.3,0.81,1.37,2.46,1.93
1,1,carrot,True,0.8391476273536682,349.0,23.2,786.3,-0.26,1.37,1.4,1.92
1,0,apple,True,0.8385645151138306,349.0,23.2,786.3,-0.27,-0.27,1.38,1.38
1,4,tomato,True,0.8385645151138306,349.0,23.2,786.3,-0.27,0.82,1.38,2.47
1,3,lemon,True,0.8385645151138306,349.0,23.2,786.3,1.37,1.37,1.93,1.94
1,4,tomato,True,0.8314346671104431,349.0,23.2,786.3,0.56,0.58,1.85,1.93
1,4,tomato,True,0.8144785165786743,349.0,23.2,786.3,0.36,0.39,1.5,1.56
1,4,tomato,True,0.7766885757446289,349.0,23.2,786.3,0.28,0.33,1.1,1.2
1,2,egg,True,0.6366137862205505,349.0,23.2,786.3,-0.27,0.28,1.38,0.83
2,3,lemon,True,0.8391476273536682,59.0,35.6,506.5,0.77,0.78,2.35,2.37
2,0,apple,True,0.8391476273536682,59.0,35.6,506.5,0.83,-0.27,2.48,1.38
2,3,lemon,True,0.8391476273536682,59.0,35.6,506.5,-0.27,-0.27,1.37,1.37
2,1,carrot,True,0.8391476273536682,59.0,35.6,506.5,0.82,1.37,2.47,1.92
2,0,apple,True,0.8391476273536682,59.0,35.6,506.5,-0.27,0.82,1.38,2.47
2,0,apple,True,0.8391476273536682,59.0,35.6,506.5,0.3,-0.26,0.85,1.4
2,2,egg,True,0.8391476273536682,59.0,35.6,506.5,0.28,0.28,0.84,0.84
2,4,tomato,True,0.8391476273536682,59.0,35.6,506.5,1.37,1.36,1.93,1.94
2,4,tomato,True,0.8362153768539429,59.0,35.6,506.5,0.6,0.57,1.86,1.91
2,4,tomato,True,0.8017756342887878,59.0,35.6,506.5,0.31,0.34,1.45,1.51
2,4,tomato,True,0.7147731184959412,59.0,35.6,506.5,1.33,0.24,1.97,0.93
2,4,tomato,True,0.7138929963111877,59.0,35.6,506.5,0.33,0.34,1.09,1.12
3,3,lemon,True,0.8391476273536682,29.2,17.8,484.6,0.77,0.77,2.35,2.37
3,1,carrot,True,0.8391476273536682,29.2,17.8,484.6,-0.27,-0.27,1.38,1.38
3,1,carrot,True,0.8391476273536682,29.2,17.8,484.6,1.38,0.28,1.93,0.83
3,1,carrot,True,0.8391476273536682,29.2,17.8,484.6,1.37,1.37,1.92,1.93
3,2,egg,True,0.8391476273536682,29.2,17.8,484.6,0.28,0.28,0.83,0.83
3,1,carrot,True,0.8391476273536682,29.2,17.8,484.6,-0.27,0.82,1.38,2.47
3,4,tomato,True,0.8320383429527283,29.2,17.8,484.6,0.56,0.57,1.85,1.92
3,4,tomato,True,0.8065302968025208,29.2,17.8,484.6,0.35,0.39,1.48,1.56
3,4,tomato,True,0.7698837518692017,29.2,17.8,484.6,0.3,0.31,1.1,1.16
3,4,tomato,True,0.6895282864570618,29.2,17.8,484.6,0.71,1.27,2.32,1.83
4,4,tomato,True,0.8391476273536682,28.2,14.5,485.1,0.76,0.77,2.34,2.35
4,0,apple,True,0.8391476273536682,28.2,14.5,485.1,0.28,1.38,0.83,1.93
4,2,egg,True,0.8391476273536682,28.2,14.5,485.1,1.38,0.28,1.93,0.83
4,4,tomato,True,0.8391476273536682,28.2,14.5,485.1,-0.27,-0.27,1.38,1.38
4,0,apple,True,0.8391476273536682,28.2,14.5,485.1,1.37,1.37,1.93,1.93
4,2,egg,True,0.8391476273536682,28.2,14.5,485.1,0.28,0.28,0.84,0.84
4,0,apple,True,0.8391476273536682,28.2,14.5,485.1,0.81,1.37,2.46,1.92
4,0,apple,True,0.8391476273536682,28.2,14.5,485.1,0.28,-0.27,0.83,1.38
4,0,apple,True,0.8379798531532288,28.2,14.5,485.1,-0.27,0.83,1.38,2.47
4,4,tomato,True,0.8320383429527283,28.2,14.5,485.1,0.57,0.57,1.86,1.92
4,4,tomato,True,0.8045032620429993,28.2,14.5,485.1,0.34,0.37,1.54,1.58
4,4,tomato,True,0.774436354637146,28.2,14.5,485.1,0.34,0.3,1.11,1.16
4,4,tomato,True,0.6376109719276428,28.2,14.5,485.1,-0.27,0.27,1.38,0.83
5,3,lemon,True,0.8391476273536682,29.7,8.4,482.6,0.77,0.77,2.35,2.37
5,1,carrot,True,0.8391476273536682,29.7,8.4,482.6,0.28,0.28,0.84,0.84
